278,1310,POLLIAT
279,1350,POLLIEU
280,1450,PONCIN
281,1160,PONT D AIN
282,1190,PONT DE VAUX
283,1290,PONT DE VEYLE
284,1460,PORT
285,1550,POUGNY
286,1250,POUILLAT
287,1300,PREMEYZEL
288,1110,PREMILLIEU
289,1370,PRESSIAT
290,1280,PREVESSIN MOENS
291,1160,PRIAY
292,1510,PUGIEU
293,1250,RAMASSE
294,1390,RANCE
295,1990,RELEVANT
296,1750,REPLONGES
297,1250,REVONNAS
298,1600,REYRIEUX
299,1190,REYSSOUZE
300,1800,RIGNIEUX LE FRANC
301,1400,ROMANS
302,1510,ROSSILLON
303,1260,RUFFIEU
304,1450,ST ALBAN
305,1380,ST ANDRE DE BAGE
306,1390,ST ANDRE DE CORCY
307,1290,ST ANDRE D HUIRIAT
308,1240,ST ANDRE LE BOUCHOUX
309,1960,ST ANDRE SUR VIEUX JONC
310,1190,ST BENIGNE
311,1300,ST BENOIT
312,1600,ST BERNARD
313,1300,ST BOIS
314,1300,ST CHAMP
315,1120,STE CROIX
316,1380,ST CYR SUR MENTHON
317,1000,ST DENIS LES BOURG
318,1500,ST DENIS EN BUGEY
319,1340,ST DIDIER D AUSSIAT
320,1600,ST DIDIER DE FORMANS
321,1140,ST DIDIER SUR CHALARONNE
322,1800,ST ELOI
323,1370,ST ETIENNE DU BOIS
324,1140,ST ETIENNE SUR CHALARONNE
325,1190,ST ETIENNE SUR REYSSOUZE
326,1600,STE EUPHEMIE
327,1630,ST GENIS POUILLY
328,1380,ST GENIS SUR MENTHON
329,1400,ST GEORGES SUR RENON
330,1130,ST GERMAIN DE JOUX
331,1300,ST GERMAIN LES PAROISSES
332,1240,ST GERMAIN SUR RENON
333,1630,ST JEAN DE GONVILLE
334,1800,ST JEAN DE NIOST
335,1390,ST JEAN DE THURIGNEUX
336,1640,ST JEAN LE VIEUX
337,1560,ST JEAN SUR REYSSOUZE
338,1290,ST JEAN SUR VEYLE
339,1150,STE JULIE
340,1560,ST JULIEN SUR REYSSOUZE
341,1540,ST JULIEN SUR VEYLE
342,1250,ST JUST
343,1750,ST LAURENT SUR SAONE
344,1390,ST MARCEL
345,1510,ST MARTIN DE BAVEL
346,1430,ST MARTIN DU FRENE
347,1160,ST MARTIN DU MONT
348,1310,ST MARTIN LE CHATEL
349,1700,ST MAURICE DE BEYNOST
350,1800,ST MAURICE DE GOURDANS
351,1500,ST MAURICE DE REMENS
352,1560,ST NIZIER LE BOUCHOUX
353,1320,ST NIZIER LE DESERT
354,1330,STE OLIVE
355,1240,ST PAUL DE VARAX
356,1230,ST RAMBERT EN BUGEY
357,1310,ST REMY
358,1150,ST SORLIN EN BUGEY
359,1340,ST SULPICE
360,1560,ST TRIVIER DE COURTES
361,1990,ST TRIVIER SUR MOIGNANS
362,1150,ST VULBAS
363,1270,SALAVRE
364,1580,SAMOGNAT
365,1400,SANDRANS
366,1150,SAULT BRENAZ
367,1220,SAUVERNY
368,1480,SAVIGNEUX
369,1170,SEGNY
370,1470,SEILLONNAZ
371,1630,SERGY
372,1190,SERMOYER
373,1470,SERRIERES DE BRIORD
374,1450,SERRIERES SUR AIN
375,1960,SERVAS
376,1560,SERVIGNAT
377,1420,SEYSSEL
378,1250,SIMANDRE SUR SURAN
379,1260,SONGIEU
380,1580,SONTHONNAX LA MONTAGNE
381,1150,SOUCLIN
382,1400,SULIGNAT
383,1420,SURJOUX
384,1260,SUTRIEU
385,1510,TALISSIEU
386,1230,TENAY
387,1110,THEZILLIEU
388,1120,THIL
389,1710,THOIRY
390,1140,THOISSEY
391,1230,TORCIEU
392,1250,TOSSIAT
393,1600,TOUSSIEUX
394,1390,TRAMOYES
395,1160,LA TRANCLIERE
396,1370,TREFFORT CUISIAT
397,1600,TREVOUX
398,1140,VALEINS
399,1660,VANDEINS
400,1160,VARAMBON
401,1150,VAUX EN BUGEY
402,1270,VERJON
403,1560,VERNOUX
404,1330,VERSAILLEUX
405,1210,VERSONNEX
406,1170,VESANCY
407,1560,VESCOURS
408,1570,VESINES
